,Default Value,English,Urdu,Romanian,Persian,French,Hindi,Arabic,Panjabi,Spanish,German,Japanese,Korean,Ukrainian,Pashto,Chinese
pie.course.cohort.capital,COHORT,COHORT,گروہ,Cohortă,گروه هم‌دوره,COHORTE,समूह,دفعة,ਕੋਹੋਰਟ,COHORTE,KOHORTE,コホート,코호트,КОГОРТА,ګروپ,队列
label.text.video_not_supported_msg,This video cannot be viewed in this device yet. Kindly watch this video from your laptop/desktop.,This video cannot be viewed in this device yet. Kindly watch this video from your laptop/desktop.,یہ ویڈیو ابھی اس ڈیوائس پر نہیں دیکھی جا سکتی۔ براہ کرم اس ویڈیو کو اپنے لیپ ٹاپ/ڈیسک ٹاپ سے دیکھیں۔,Acest videoclip nu poate fi vizionat încă pe acest dispozitiv. Vă rugăm să vizionați acest videoclip de pe laptop/desktop.,این ویدئو هنوز در این دستگاه قابل مشاهده نیست. لطفاً این ویدئو را از لپ‌تاپ/رایانه رومیزی خود تماشا کنید.,Cette vidéo ne peut pas encore être visionnée sur cet appareil. Veuillez regarder cette vidéo depuis votre ordinateur portable/ordinateur de bureau.,यह वीडियो इस डिवाइस में अभी तक नहीं देखा जा सकता। कृपया इस वीडियो को अपने लैपटॉप/डेस्कटॉप से देखें।,لا يمكن مشاهدة هذا الفيديو على هذا الجهاز بعد. يرجى مشاهدة هذا الفيديو من جهاز الكمبيوتر المحمول/المكتبي.,ਇਹ ਵੀਡੀਓ ਅਜੇ ਤੱਕ ਇਸ ਡਿਵਾਈਸ ਵਿੱਚ ਨਹੀਂ ਦੇਖੀ ਜਾ ਸਕਦੀ। ਕਿਰਪਾ ਕਰਕੇ ਇਹ ਵੀਡੀਓ ਆਪਣੇ ਲੈਪਟਾਪ/ਡੈਸਕਟਾਪ ਤੋਂ ਦੇਖੋ।,"Este video no se puede ver en este dispositivo todavía. Por favor, mira este video desde tu laptop/escritorio.",Dieses Video kann auf diesem Gerät noch nicht angesehen werden. Bitte sehen Sie sich dieses Video von Ihrem Laptop/Desktop an.,このビデオはまだこのデバイスで視聴できません。ラップトップ/デスクトップからこのビデオをご覧ください。,이 비디오는 아직 이 기기에서 볼 수 없습니다. 노트북/데스크톱에서 이 비디오를 시청해 주세요.,"Це відео поки що не можна переглянути на цьому пристрої. Будь ласка, перегляньте це відео з вашого ноутбука/настільного комп'ютера.",دا ویډیو لا تر اوسه په دې وسیله کې نشي لیدل کیدی. مهرباني وکړئ دا ویډیو له خپل لپټاپ/ډیسټاپ څخه وګورئ.,此视频暂时无法在此设备上观看。请在您的笔记本电脑或台式机上观看此视频。
global.pricing.custom_payment,Custom payment,Custom payment,حسب ضرورت ادائیگی,Plată personalizată,پرداخت سفارشی,Paiement personnalisé,कस्टम भुगतान,دفع مخصص,ਕਸਟਮ ਭੁਗਤਾਨ,Pago personalizado,Benutzerdefinierte Zahlung,カスタム支払い,맞춤 결제,Індивідуальний платіж,دودیزه تادیه,自定义支付
pie.session.question.submitted,Your question has been submitted,Your question has been submitted,آپ کا سوال جمع کر دیا گیا ہے۔,Întrebarea dumneavoastră a fost trimisă.,سوال شما ارسال شد,Votre question a été soumise,आपका प्रश्न सबमिट कर दिया गया है,تم إرسال سؤالك,ਤੁਹਾਡਾ ਪ੍ਰਸ਼ਨ ਜਮ੍ਹਾਂ ਕਰ ਦਿੱਤਾ ਗਿਆ ਹੈ,Tu pregunta ha sido enviada,Ihre Frage wurde eingereicht,ご質問が送信されました,질문이 제출되었습니다,Ваше запитання було надіслано,ستاسو پوښتنه سپارل شوې ده,您的问题已提交。
pie.app.permission.allow,Allow permission,Allow permission,اجازت دیں۔,Permite permisiunea,اجازه دادن,Autoriser la permission,अनुमति दें,السماح بالإذن,ਇਜਾਜ਼ਤ ਦਿਓ,Permitir permiso,Erlaubnis erteilen,許可を与える,권한 허용,Надати дозвіл,اجازه ورکړئ,允许权限
global.esc,Esc,Esc,ایسک,Esc,اسکپ,Échap,एस्केप,خروج,ਐਸਕ,Esc,Esc,Esc,Esc,Esc,Esc,退出键
pie.pricing.payment_pending_info2,Clicking Pay Now below and proceeding with this new transaction will invalidate your existing pending transaction.,Clicking Pay Now below and proceeding with this new transaction will invalidate your existing pending transaction.,"نیچے ""Pay Now"" پر کلک کرنے اور اس نئے لین دین کے ساتھ آگے بڑھنے سے آپ کا موجودہ زیر التواء لین دین منسوخ ہو جائے گا۔","Făcând clic pe Plătește acum de mai jos și continuând cu această nouă tranzacție, veți invalida tranzacția existentă în așteptare.","کلیک کردن روی ""پرداخت اکنون"" در زیر و ادامه دادن با این تراکنش جدید، تراکنش در حال انتظار موجود شما را باطل خواهد کرد.","En cliquant sur Payer maintenant ci-dessous et en poursuivant cette nouvelle transaction, vous annulerez votre transaction en attente existante.","नीचे ""अभी भुगतान करें"" पर क्लिक करके और इस नए लेन-देन के साथ आगे बढ़ने से आपका मौजूदा लंबित लेन-देन अमान्य हो जाएगा।","النقر على ""ادفع الآن"" أدناه والمضي قدمًا في هذه المعاملة الجديدة سيلغي المعاملة المعلقة الحالية.",ਹੇਠਾਂ 'ਹੁਣ ਭੁਗਤਾਨ ਕਰੋ' 'ਤੇ ਕਲਿਕ ਕਰਨਾ ਅਤੇ ਇਸ ਨਵੇਂ ਲੈਣ-ਦੇਣ ਨਾਲ ਅੱਗੇ ਵਧਣਾ ਤੁਹਾਡੇ ਮੌਜੂਦਾ ਬਕਾਇਆ ਲੈਣ-ਦੇਣ ਨੂੰ ਅਵੈਧ ਕਰ ਦੇਵੇਗਾ।,"Al hacer clic en Pagar Ahora a continuación y proceder con esta nueva transacción, invalidarás tu transacción pendiente existente.","Wenn Sie unten auf Jetzt bezahlen klicken und mit dieser neuen Transaktion fortfahren, wird Ihre bestehende ausstehende Transaktion ungültig.",下の「今すぐ支払う」をクリックしてこの新しい取引を進めると、既存の保留中の取引が無効になります。,아래의 '지금 결제'를 클릭하고 이 새로운 거래를 진행하면 기존의 보류 중인 거래가 무효화됩니다.,"Натиснувши нижче ""Сплатити зараз"" і продовживши цю нову транзакцію, ви анулюєте вашу існуючу очікуючу транзакцію.",لاندې اوس تادیه کلیک کول او د دې نوي معاملې سره پرمخ تلل به ستاسو موجوده معلق معامله باطل کړي.,点击下面的立即支付并继续进行此新交易将使您现有的待处理交易失效。
pie.test.duration,Duration,Duration,مدت,Durată,مدت زمان,Durée,अवधि,المدة,ਅਵਧੀ,Duración,Dauer,期間,기간,Тривалість,موده,持续时间
pie.pricing.payment_pending_info1,"Once your transaction is complete, you'll receive a payment confirmation email within 48 hours. If you haven't received confirmation after 2 days and your amount hasn't been debited from your account, you can try another mode of payment.","Once your transaction is complete, you'll receive a payment confirmation email within 48 hours. If you haven't received confirmation after 2 days and your amount hasn't been debited from your account, you can try another mode of payment.",جب آپ کی ٹرانزیکشن مکمل ہو جائے گی، تو آپ کو 48 گھنٹوں کے اندر ادائیگی کی تصدیق کا ای میل موصول ہوگا۔ اگر 2 دن بعد بھی آپ کو تصدیق موصول نہیں ہوئی اور آپ کے اکاؤنٹ سے رقم نہیں کاٹی گئی، تو آپ ادائیگی کا کوئی اور طریقہ آزما سکتے ہیں۔,"Odată ce tranzacția dvs. este finalizată, veți primi un e-mail de confirmare a plății în termen de 48 de ore. Dacă nu ați primit confirmarea după 2 zile și suma nu a fost debitată din contul dvs., pute",پس از تکمیل تراکنش شما، ظرف ۴۸ ساعت یک ایمیل تأیید پرداخت دریافت خواهید کرد. اگر پس از ۲ روز تأییدیه دریافت نکردید و مبلغ از حساب شما کسر نشده است، می‌توانید روش پرداخت دیگری را امتحان کنید.,"Une fois votre transaction terminée, vous recevrez un e-mail de confirmation de paiement dans les 48 heures. Si vous n'avez pas reçu de confirmation après 2 jours et que votre montant n'a pas été débité de votre compte, vous pouvez essayer un autre mode de paiement.","एक बार आपका लेन-देन पूरा हो जाने के बाद, आपको 48 घंटों के भीतर एक भुगतान पुष्टिकरण ईमेल प्राप्त होगा। यदि 2 दिनों के बाद भी पुष्टि प्राप्त नहीं हुई है और आपकी राशि आपके खाते से डेबिट नहीं की गई है, तो आप भुगतान का दूसरा तरीका आज़मा सकते हैं।",بمجرد اكتمال معاملتك، ستتلقى بريدًا إلكترونيًا بتأكيد الدفع في غضون 48 ساعة. إذا لم تتلق تأكيدًا بعد يومين ولم يتم خصم المبلغ من حسابك، يمكنك تجربة طريقة دفع أخرى.,"ਜਦੋਂ ਤੁਹਾਡਾ ਲੈਣ-ਦੇਣ ਪੂਰਾ ਹੋ ਜਾਵੇਗਾ, ਤੁਹਾਨੂੰ 48 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਭੁਗਤਾਨ ਦੀ ਪੁਸ਼ਟੀਕਰਨ ਈਮੇਲ ਮਿਲੇਗੀ। ਜੇਕਰ ਤੁਹਾਨੂੰ 2 ਦਿਨਾਂ ਬਾਅਦ ਵੀ ਪੁਸ਼ਟੀਕਰਨ ਨਹੀਂ ਮਿਲਿਆ ਅਤੇ ਤੁਹਾਡੀ ਰਕਮ ਤੁਹਾਡੇ ਖਾਤੇ ਤੋਂ ਕੱਟੀ ਨਹੀਂ ਗਈ, ਤਾਂ ਤੁਸੀਂ ਭੁਗਤਾਨ ਦਾ ਹੋਰ ਤਰੀਕਾ ਅਜ਼ਮਾਈ ਸਕਦੇ ਹੋ।","Una vez que tu transacción esté completa, recibirás un correo de confirmación de pago dentro de 48 horas. Si no has recibido la confirmación después de 2 días y tu monto no ha sido debitado de tu cuenta, puedes intentar otro modo de pago.","Sobald Ihre Transaktion abgeschlossen ist, erhalten Sie innerhalb von 48 Stunden eine Zahlungsbestätigungs-E-Mail. Wenn Sie nach 2 Tagen keine Bestätigung erhalten haben und Ihr Betrag nicht von Ihrem Konto abgebucht wurde, können Sie eine andere Zahlungsmethode ausprobieren.",取引が完了すると、48時間以内に支払い確認メールが届きます。2日後に確認が届かず、口座から金額が引き落とされていない場合は、別の支払い方法を試すことができます。,거래가 완료되면 48시간 이내에 결제 확인 이메일을 받게 됩니다. 2일 후에도 확인을 받지 못하고 계좌에서 금액이 인출되지 않은 경우 다른 결제 방법을 시도할 수 있습니다.,"Після завершення вашої транзакції ви отримаєте електронний лист із підтвердженням оплати протягом 48 годин. Якщо ви не отримали підтвердження через 2 дні і ваші кошти не були списані з вашого рахунку, ви можете спробувати інший спосіб оплати.",یو ځل چې ستاسو معامله بشپړه شي، تاسو به د تادیې تایید بریښنالیک په 48 ساعتونو کې ترلاسه کړئ. که تاسو د 2 ورځو وروسته تایید ترلاسه نه کړئ او ستاسو مقدار له حساب څخه نه وي اخیستل شوی، تاسو کولی شئ د تادیې بلې لارې هڅه وکړئ.,一旦您的交易完成，您将在48小时内收到付款确认邮件。如果两天后您仍未收到确认，并且您的账户未被扣款，您可以尝试其他支付方式。
pie.bundle.pricing.payment_pending_info2,2. If the amount has not been debited from your account and the transaction is incomplete kindly click on the button below (if and only if money has not been debited from your account) to proceed paying for this bundle since the previous transaction has failed.,2. If the amount has not been debited from your account and the transaction is incomplete kindly click on the button below (if and only if money has not been debited from your account) to proceed paying for this bundle since the previous transaction has failed.,اگر رقم آپ کے اکاؤنٹ سے منہا نہیں ہوئی ہے اور لین دین نامکمل ہے، تو براہ کرم نیچے دیے گئے بٹن پر کلک کریں (صرف اور صرف اگر رقم آپ کے اکاؤنٹ سے منہا نہیں ہوئی ہے) تاکہ اس بنڈل کی ادائیگی کے لیے آگے بڑھ سکیں کیونکہ پچھلا لین دین ناکام ہو گیا ہے۔,"Dacă suma nu a fost debitată din contul dumneavoastră și tranzacția este incompletă, vă rugăm să faceți clic pe butonul de mai jos (doar dacă suma nu a fost debitată din contul dumneavoastră) pentru a",اگر مبلغ از حساب شما کسر نشده و تراکنش ناقص است، لطفاً روی دکمه زیر کلیک کنید (فقط در صورتی که پول از حساب شما کسر نشده باشد) تا برای پرداخت این بسته اقدام کنید، زیرا تراکنش قبلی ناموفق بوده است,"2. Si le montant n'a pas été débité de votre compte et que la transaction est incomplète, veuillez cliquer sur le bouton ci-dessous (uniquement si l'argent n'a pas été débité de votre compte) pour procéder au paiement de ce pack puisque la transaction précédente a échoué.","2. यदि राशि आपके खाते से डेबिट नहीं की गई है और लेन-देन अधूरा है, तो कृपया नीचे दिए गए बटन पर क्लिक करें (यदि और केवल यदि आपके खाते से पैसा डेबिट नहीं किया गया है) इस बंडल के लिए भुगतान करने के लिए आगे बढ़ें क्योंकि पिछला लेन-देन विफल हो गया है।",2. إذا لم يتم خصم المبلغ من حسابك وكانت المعاملة غير مكتملة، يرجى النقر على الزر أدناه (إذا وفقط إذا لم يتم خصم المال من حسابك) للمتابعة في دفع هذا الحزمة حيث فشلت المعاملة السابقة.,"2. ਜੇਕਰ ਰਕਮ ਤੁਹਾਡੇ ਖਾਤੇ ਤੋਂ ਕੱਟੀ ਨਹੀਂ ਗਈ ਅਤੇ ਲੈਣ-ਦੇਣ ਅਧੂਰਾ ਹੈ, ਤਾਂ ਕਿਰਪਾ ਕਰਕੇ ਹੇਠਾਂ ਦਿੱਤੇ ਬਟਨ 'ਤੇ ਕਲਿਕ ਕਰੋ (ਜੇ ਅਤੇ ਸਿਰਫ ਜੇਕਰ ਰਕਮ ਤੁਹਾਡੇ ਖਾਤੇ ਤੋਂ ਕੱਟੀ ਨਹੀਂ ਗਈ) ਇਸ ਬੰਡਲ ਲਈ ਭੁਗਤਾਨ ਕਰਨ ਲਈ ਅੱਗੇ ਵਧਣ ਲਈ ਕਿਉਂਕਿ ਪਿਛਲਾ ਲੈਣ-ਦੇਣ ਅਸਫਲ ਹੋ ਗਿਆ ਹੈ।","2. Si el monto no ha sido debitado de tu cuenta y la transacción está incompleta, por favor haz clic en el botón a continuación (si y solo si el dinero no ha sido debitado de tu cuenta) para proceder a pagar por este paquete ya que la transacción anterior ha fallado.","2. Wenn der Betrag nicht von Ihrem Konto abgebucht wurde und die Transaktion unvollständig ist, klicken Sie bitte auf die Schaltfläche unten (nur wenn und nur wenn das Geld nicht von Ihrem Konto abgebucht wurde), um mit der Zahlung für dieses Paket fortzufahren, da die vorherige Transaktion fehlgeschlagen ist.",2. 口座から金額が引き落とされておらず、取引が完了していない場合は、以下のボタンをクリックしてください（口座から金額が引き落とされていない場合のみ）。前回の取引が失敗したため、このバンドルの支払いを進めることができます。,"2. 계좌에서 금액이 인출되지 않았고 거래가 완료되지 않은 경우 아래 버튼을 클릭하여 이 번들을 결제하세요 (단, 계좌에서 금액이 인출되지 않은 경우에만 해당). 이전 거래가 실패했습니다.","2. Якщо кошти не були списані з вашого рахунку і транзакція не завершена, будь ласка, натисніть на кнопку нижче (якщо і тільки якщо кошти не були списані з вашого рахунку), щоб продовжити оплату за цей пакет, оскільки попередня транзакція не вдалася.",2. که چیرې مقدار له حساب څخه نه وي اخیستل شوی او معامله نیمګړې وي مهرباني وکړئ لاندې تڼۍ کلیک وکړئ (که او یوازې که پیسې له حساب څخه نه وي اخیستل شوي) د دې بنډل لپاره تادیه کولو ته لاړ شئ ځکه چې پخوانۍ معامله ناکامه شوې ده.,如果您的账户尚未扣款且交易未完成，请点击下面的按钮（仅在账户未扣款的情况下）以继续支付此套餐，因为之前的交易已失败。
pie.profile.ratings,ratings,ratings,درجہ بندی,evaluări,رتبه‌بندی‌ها,évaluations,रेटिंग्स,التقييمات,ਰੇਟਿੰਗ,calificaciones,Bewertungen,評価,평점,рейтинги,درجه بندي,评分
site.content.course.access,Access Course,Access Course,رسائی کورس,Curs de acces,دوره دسترسی,Accéder au cours,पाठ्यक्रम तक पहुँचें,الوصول إلى الدورة,ਕੋਰਸ ਤੱਕ ਪਹੁੰਚ ਕਰੋ,Acceder al Curso,Kurszugang,コースにアクセス,과정 접근,Доступ до курсу,کورس ته لاسرسی,入学课程
label.text.assignment.material_delete_notify,Material has been deleted successfully,Material has been deleted successfully,مواد کامیابی سے حذف کر دیا گیا ہے۔,Materialul a fost șters cu succes.,محتوا با موفقیت حذف شد,Le matériel a été supprimé avec succès,सामग्री सफलतापूर्वक हटा दी गई है,تم حذف المادة بنجاح,ਸਮੱਗਰੀ ਸਫਲਤਾਪੂਰਵਕ ਮਿਟਾ ਦਿੱਤੀ ਗਈ ਹੈ,El material ha sido eliminado exitosamente,Material wurde erfolgreich gelöscht,素材が正常に削除されました,자료가 성공적으로 삭제되었습니다,Матеріал успішно видалено,مواد په بریالیتوب سره حذف شوي,材料已成功删除。
pie.common.bundle_registrationform,Bundle Registration,Bundle Registration,بنڈل رجسٹریشن,Înregistrare Pachet,ثبت بسته‌بندی,Inscription au pack,बंडल पंजीकरण,تسجيل الحزمة,ਬੰਡਲ ਰਜਿਸਟ੍ਰੇਸ਼ਨ,Registro de Paquete,Paketregistrierung,バンドル登録,번들 등록,Реєстрація на пакет,بنډل ثبتول,捆绑注册
label.issuedate,Date Issued,Date Issued,اجراء کی تاریخ,Data emiterii,تاریخ صدور,Date d'émission,जारी करने की तिथि,تاريخ الإصدار,ਜਾਰੀ ਕਰਨ ਦੀ ਮਿਤੀ,Fecha de Emisión,Ausstellungsdatum,発行日,발행일,Дата видачі,نېټه ورکړل شوې,签发日期
pie.app.coupon_code_hint,Type coupon code here...,Type coupon code here...,یہاں کوپن کوڈ درج کریں...,Introduceți codul cuponului aici...,کد تخفیف را اینجا وارد کنید...,Entrez le code promo ici...,यहाँ कूपन कोड टाइप करें...,اكتب رمز القسيمة هنا...,ਇੱਥੇ ਕੂਪਨ ਕੋਡ ਟਾਈਪ ਕਰੋ...,Escribe el código de cupón aquí...,Geben Sie hier den Gutscheincode ein...,ここにクーポンコードを入力してください...,여기에 쿠폰 코드를 입력하세요...,Введіть код купона тут...,دلته د کوپن کوډ ټایپ کړئ...,在此输入优惠码...
label.text.lessons,lesson(s),lesson(s),سبق,lecție/lecții,درس(ها),leçon(s),पाठ,درس/دروس,ਪਾਠ,lección(es),Lektion(en),レッスン,수업,урок(и),درس(ونه),课程
pie.accessReq.aud.active,You have an active mic/camera request. Control your mic/camera from the icons in bottom band,You have an active mic/camera request. Control your mic/camera from the icons in bottom band,آپ کے پاس مائیک/کیمرہ کی ایک فعال درخواست ہے۔ نیچے کی پٹی میں موجود آئیکنز سے اپنے مائیک/کیمرہ کو کنٹرول کریں۔,Aveți o cerere activă pentru microfon/cameră. Controlați microfonul/camera din pictogramele din banda de jos.,شما درخواست میکروفون/دوربین فعال دارید. میکروفون/دوربین خود را از طریق آیکون‌ها در نوار پایین کنترل کنید.,Vous avez une demande de micro/caméra active. Contrôlez votre micro/caméra à partir des icônes dans la bande inférieure,आपके पास एक सक्रिय माइक/कैमरा अनुरोध है। नीचे की पट्टी में आइकनों से अपने माइक/कैमरा को नियंत्रित करें,لديك طلب ميكروفون/كاميرا نشط. تحكم في الميكروفون/الكاميرا من الأيقونات في الشريط السفلي,ਤੁਹਾਡੇ ਕੋਲ ਇੱਕ ਸਕ੍ਰੀਨ/ਕੈਮਰਾ ਬੇਨਤੀ ਹੈ। ਹੇਠਾਂ ਦਿੱਤੇ ਆਈਕਾਨਾਂ ਤੋਂ ਆਪਣੇ ਮਾਈਕ/ਕੈਮਰਾ ਨੂੰ ਕੰਟਰੋਲ ਕਰੋ,Tienes una solicitud activa de micrófono/cámara. Controla tu micrófono/cámara desde los íconos en la banda inferior,Sie haben eine aktive Mikrofon-/Kameraanfrage. Steuern Sie Ihr Mikrofon/Ihre Kamera über die Symbole in der unteren Leiste,マイク/カメラのリクエストがアクティブです。下部のアイコンからマイク/カメラを制御してください,활성 마이크/카메라 요청이 있습니다. 하단의 아이콘에서 마이크/카메라를 제어하세요,У вас є активний запит на мікрофон/камеру. Керуйте своїм мікрофоном/камерою з іконок у нижній панелі,تاسو د فعال مایک/کیمرې غوښتنه لرئ. خپل مایک/کیمره د لاندې بانډ کې د شبیهونو څخه کنټرول کړئ,您有一个激活的麦克风/摄像头请求。请从底部栏的图标控制您的麦克风/摄像头。
pie.polldisplay.totalanswers,Total answers,Total answers,کل جوابات,Răspunsuri totale,پاسخ‌های کل,Réponses totales,कुल उत्तर,إجمالي الإجابات,ਕੁੱਲ ਜਵਾਬ,Respuestas totales,Gesamtanzahl der Antworten,総回答数,총 답변 수,Загальна кількість відповідей,ټول ځوابونه,总答案
pie.common.course_registrationform,Course Registration,Course Registration,کورس کی رجسٹریشن,Înregistrare la cursuri,ثبت‌نام دوره,Inscription au cours,पाठ्यक्रम पंजीकरण,تسجيل الدورة,ਕੋਰਸ ਰਜਿਸਟ੍ਰੇਸ਼ਨ,Registro del Curso,Kursregistrierung,コース登録,과정 등록,Реєстрація на курс,د کورس ثبتول,课程注册
pie.common.click_here,click here,click here,یہاں کلک کریں,apasă aici,اینجا کلیک کنید,cliquez ici,यहाँ क्लिक करें,انقر هنا,ਇੱਥੇ ਕਲਿਕ ਕਰੋ,haz clic aquí,hier klicken,ここをクリック,여기를 클릭하세요,натисніть тут,دلته کلیک وکړئ,点击这里
